Marca temporal;Pregunta 1;Pregunta 2;Pregunta 3;Pregunta 4;Pregunta 5;Pregunta 6;Pregunta 7;Pregunta 8
15/1/2025 17:50;1;3;4;2;4;2;3;4
15/1/2025 17:53;2;1;3;4;4;4;4;0
15/1/2025 17:54;1;3;3;4;4;5;4;3
15/1/2025 17:55;1;2;2;4;5;5;4;4
15/1/2025 17:56;1;3;3;5;5;5;4;4
15/1/2025 17:57;1;1;2;5;4;4;3;3
15/1/2025 18:02;1;2;2;5;5;4;3;4
15/1/2025 18:17;1;3;2;4;4;4;3;0
15/1/2025 18:21;1;1;3;2;5;5;3;2
15/1/2025 18:28;1;4;4;5;4;5;4;4
16/1/2025 18:28;2;2;4;4;3;2;2;5
17/1/2025 18:28;3;1;4;2;2;4;3;4
18/1/2025 18:28;2;3;5;1;2;5;2;3
19/1/2025 18:28;2;2;3;1;3;4;2;3
20/1/2025 18:28;1;2;3;2;4;3;4;2
21/1/2025 18:28;2;4;3;4;4;3;5;4
22/1/2025 18:28;2;2;2;4;5;3;5;5
23/1/2025 18:28;3;1;1;2;1;4;6;2
24/1/2025 18:28;1;2;1;5;2;3;4;6
25/1/2025 18:28;2;4;1;5;1;4;4;3
26/1/2025 18:28;1;2;1;5;2;5;2;2
27/1/2025 18:28;3;3;3;3;1;2;3;2
28/1/2025 18:28;5;2;2;5;2;1;3;4
29/1/2025 18:28;4;3;3;3;1;4;4;5
30/1/2025 18:28;3;4;2;2;4;5;4;5
31/1/2025 18:28;2;1;3;2;2;4;2;3
1/2/2025 18:28;2;2;4;1;3;4;1;6
2/2/2025 18:28;2;1;5;1;4;4;1;2
3/2/2025 18:28;2;2;1;1;3;2;3;2
4/2/2025 18:28;4;3;1;2;4;3;4;2
5/2/2025 18:28;3;2;2;2;5;3;1;4
6/2/2025 18:28;1;3;1;3;3;5;3;4
7/2/2025 18:28;1;1;2;4;2;2;5;5
8/2/2025 18:28;2;4;4;5;1;4;5;3
9/2/2025 18:28;3;3;4;4;3;2;2;2
10/2/2025 18:28;4;4;2;3;2;3;1;2
11/2/2025 18:28;3;4;1;3;4;5;3;4
12/2/2025 18:28;4;4;2;1;2;3;5;3
13/2/2025 18:28;6;2;1;3;1;3;3;5
14/2/2025 18:28;5;3;4;4;1;2;2;2
15/2/2025 18:28;4;2;2;2;4;3;1;2
16/2/2025 18:28;3;3;4;2;2;5;3;3
17/2/2025 18:28;2;1;2;2;3;3;1;4
18/2/2025 18:28;1;4;1;4;5;4;5;4
19/2/2025 18:28;1;1;2;3;2;4;4;4
20/2/2025 18:28;3;4;6;3;3;5;1;3
21/2/2025 18:28;4;5;7;6;5;4;2;3
22/2/2025 18:28;4;3;3;1;1;5;6;5
23/2/2025 18:28;;;;;;;;
