Marca temporal,1. ¿Crees tú que la inteligencia artificial ha sido una herramienta que ha aportado benéficamente a la sociedad?,2. ¿Cuánto conocimiento tienes sobre el desface que tiene IA sobre los códigos éticos?,3. ¿Cuánto conocimiento tienes sobre la importancia de la ética en el uso de IA?,4. ¿Crees tú que es de suma importancia los códigos éticos al momento de utilizar IA?,5. ¿Qué tan importante es para ti la ética cuando utilizas IA?,6. ¿ Crees que es importante establecer parámetros  al momento de utilizar IA para que esta herramienta sea benéfica y no perjudicial para tu desarrollo académico?,7. ¿Estás de acuerdo en que  la inteligencia artificial tenga regulaciones éticas estrictas para evitar el plagio en los trabajos académicos?,8. ¿Estás de acuerdo en que  se penalice a la persona que utilice IA sin tomar en cuenta los códigos éticos para el uso benéfico  máximo de esta herramienta?
2025-01-15 17:50:50.191,Sí,Regular,Bueno,Neutral,Importante,Neutral,De acuerdo,Totalmente de acuerdo
2025-01-15 17:53:45.495,Tal vez,Muy poco,Regular,Importante,Importante,Importante,Totalmente de acuerdo,Muy en desacuerdo
2025-01-15 17:54:02.320,Sí,Regular,Regular,Importante,Importante,Muy importante,Totalmente de acuerdo,De acuerdo
2025-01-15 17:55:00.766,Sí,Poco,Poco,Importante,Muy importante,Muy importante,Totalmente de acuerdo,Totalmente de acuerdo
2025-01-15 17:56:53.190,Sí,Regular,Regular,Muy importante,Muy importante,Muy importante,Totalmente de acuerdo,Totalmente de acuerdo
2025-01-15 17:57:23.049,Sí,Muy poco,Poco,Muy importante,Importante,Importante,De acuerdo,De acuerdo
2025-01-15 18:02:32.768,Sí,Poco,Poco,Muy importante,Muy importante,Importante,De acuerdo,Totalmente de acuerdo
2025-01-15 18:17:31.164,Sí,Regular,Poco,Importante,Importante,Importante,De acuerdo,Muy en desacuerdo
2025-01-15 18:21:37.873,Sí,Muy poco,Regular,Neutral,Muy importante,Muy importante,De acuerdo,Neutral
2025-01-15 18:28:20.470,Sí,Bueno,Bueno,Muy importante,Importante,Muy importante,Totalmente de acuerdo,Totalmente de acuerdo
2025-01-16 21:54:21.484,Sí,Muy poco,Muy poco,Importante,Muy importante,Importante,De acuerdo,En desacuerdo
2025-01-19 08:54:04.234,Sí,Poco,Regular,Importante,Importante,Muy importante,De acuerdo,Totalmente de acuerdo
2025-01-19 16:52:58.701,Sí,Regular,Regular,Importante,Importante,Importante,De acuerdo,De acuerdo
2025-01-19 16:54:48.302,Sí,Muy poco,Poco,Neutral,Poco importante,No es importante,En desacuerdo,En desacuerdo
2025-01-19 19:14:00.196,Tal vez,Poco,Regular,Importante,Importante,Importante,Totalmente de acuerdo,De acuerdo
2025-01-19 19:14:49.760,Sí,Muy poco,Poco,Muy importante,Importante,Importante,Neutral,Neutral
2025-01-19 19:25:45.113,Tal vez,Regular,Bueno,Importante,Neutral,Importante,Neutral,Neutral
2025-01-19 20:58:30.617,Sí,Bueno,Bueno,Importante,Importante,Importante,De acuerdo,De acuerdo
2025-01-19 21:55:44.510,Sí,Regular,Regular,Muy importante,Muy importante,Muy importante,Totalmente de acuerdo,Totalmente de acuerdo
2025-01-19 21:57:19.554,Sí,Poco,Muy poco,Poco importante,Importante,Importante,De acuerdo,Neutral
2025-01-19 21:58:51.231,Sí,Regular,Regular,Neutral,Neutral,Importante,De acuerdo,De acuerdo
2025-01-19 22:02:38.954,Sí,Bueno,Bueno,Neutral,Importante,Neutral,Neutral,Neutral
2025-01-19 22:12:49.358,Sí,Regular,Regular,Muy importante,Importante,Importante,De acuerdo,De acuerdo
2025-01-19 22:50:54.760,Sí,Poco,Poco,Importante,Importante,Importante,Totalmente de acuerdo,Muy en desacuerdo
2025-01-20 11:06:11.029,Sí,Muy poco,Muy poco,Muy importante,Muy importante,Muy importante,Muy en desacuerdo,Muy en desacuerdo
2025-01-20 21:11:49.641,Sí,Regular,Regular,Muy importante,Importante,Muy importante,Totalmente de acuerdo,De acuerdo
2025-01-21 21:21:06.968,Sí,Regular,Regular,Importante,Importante,Neutral,De acuerdo,Neutral
2025-01-21 21:24:56.368,Sí,Bueno,Bueno,Muy importante,Importante,Muy importante,Totalmente de acuerdo,Totalmente de acuerdo
2025-01-21 21:27:30.475,Tal vez,Regular,Regular,Poco importante,Neutral,Poco importante,En desacuerdo,Neutral
2025-01-21 21:31:15.587,Sí,Poco,Bueno,Muy importante,Muy importante,Muy importante,Totalmente de acuerdo,Neutral
2025-01-21 21:31:28.706,Tal vez,Regular,Regular,Importante,Importante,Importante,Neutral,Neutral
2025-01-21 21:34:20.558,Sí,Bueno,Muy bueno,Muy importante,Importante,Muy importante,Totalmente de acuerdo,De acuerdo
2025-01-21 22:13:57.272,Sí,Muy poco,Muy poco,Importante,Muy importante,Importante,Muy en desacuerdo,En desacuerdo
2025-01-21 22:58:28.948,Sí,Regular,Muy poco,No es importante,Poco importante,No es importante,Muy en desacuerdo,Muy en desacuerdo
2025-01-30 16:36:53.945,Sí,Regular,Regular,Neutral,Importante,Importante,Neutral,Neutral
2025-01-30 16:37:05.424,Sí,Muy poco,Poco,Importante,Importante,Importante,De acuerdo,De acuerdo
2025-01-30 16:39:55.069,Sí,Muy poco,Bueno,Importante,Importante,Importante,De acuerdo,De acuerdo
2025-01-30 16:40:56.230,Sí,Muy poco,Muy bueno,Importante,Importante,Importante,De acuerdo,En desacuerdo
2025-01-30 16:41:07.325,Sí,Regular,Regular,Neutral,Neutral,Importante,De acuerdo,Neutral
2025-01-30 16:46:51.094,Sí,Poco,Poco,Poco importante,Poco importante,Muy importante,De acuerdo,De acuerdo
2025-01-30 16:55:08.610,Sí,Regular,Regular,Neutral,Neutral,Importante,De acuerdo,Neutral
2025-01-30 16:58:25.318,Sí,Poco,Regular,Importante,Muy importante,Muy importante,De acuerdo,De acuerdo
2025-01-30 17:08:17.708,Sí,Bueno,Bueno,Importante,Importante,Importante,Totalmente de acuerdo,De acuerdo
2025-01-30 17:16:57.696,Sí,Muy poco,Muy bueno,Muy importante,Muy importante,Muy importante,Totalmente de acuerdo,Totalmente de acuerdo
2025-01-30 17:19:33.785,Sí,Regular,Regular,Neutral,Neutral,Neutral,De acuerdo,De acuerdo
2025-01-30 17:21:52.554,Sí,Poco,Poco,Poco importante,Poco importante,Poco importante,Neutral,Neutral
2025-01-30 18:45:48.891,Tal vez,Muy poco,Muy poco,Muy importante,Muy importante,Muy importante,Totalmente de acuerdo,De acuerdo
2025-01-30 20:36:28.999,No,Regular,Bueno,Importante,Neutral,Neutral,De acuerdo,En desacuerdo
2025-01-30 21:08:21.292,Sí,Poco,Bueno,Neutral,Neutral,Poco importante,Neutral,Neutral
2025-01-30 22:12:57.342,Tal vez,Regular,Bueno,Neutral,Importante,Neutral,Neutral,Neutral
2025-01-30 22:16:25.929,Sí,Regular,Bueno,Importante,Importante,Muy importante,De acuerdo,De acuerdo
2025-01-30 22:20:26.059,Sí,Poco,Poco,Neutral,Poco importante,Importante,De acuerdo,Neutral
