conocimientoDesfaseIA,conocimientoEticaIA,importanciaCodigosIA,importanciaEticaIA,parametrosUsoIA,regularIAPlagio,penalizarIACodigos,beneficioIA_No,beneficioIA_Sí,beneficioIA_Tal vez
2,3,2,3,2,3,4,False,True,False
0,2,3,3,3,4,0,False,False,True
2,2,3,3,4,4,3,False,True,False
1,1,3,4,4,4,4,False,True,False
2,2,4,4,4,4,4,False,True,False
0,1,4,3,3,3,3,False,True,False
1,1,4,4,3,3,4,False,True,False
2,1,3,3,3,3,0,False,True,False
0,2,2,4,4,3,2,False,True,False
3,3,4,3,4,4,4,False,True,False
0,0,3,4,3,3,1,False,True,False
1,2,3,3,4,3,4,False,True,False
2,2,3,3,3,3,3,False,True,False
0,1,2,1,0,1,1,False,True,False
1,2,3,3,3,4,3,False,False,True
0,1,4,3,3,2,2,False,True,False
2,3,3,2,3,2,2,False,False,True
3,3,3,3,3,3,3,False,True,False
2,2,4,4,4,4,4,False,True,False
1,0,1,3,3,3,2,False,True,False
2,2,2,2,3,3,3,False,True,False
3,3,2,3,2,2,2,False,True,False
2,2,4,3,3,3,3,False,True,False
1,1,3,3,3,4,0,False,True,False
0,0,4,4,4,0,0,False,True,False
2,2,4,3,4,4,3,False,True,False
2,2,3,3,2,3,2,False,True,False
3,3,4,3,4,4,4,False,True,False
2,2,1,2,1,1,2,False,False,True
1,3,4,4,4,4,2,False,True,False
2,2,3,3,3,2,2,False,False,True
3,4,4,3,4,4,3,False,True,False
0,0,3,4,3,0,1,False,True,False
2,0,0,1,0,0,0,False,True,False
2,2,2,3,3,2,2,False,True,False
0,1,3,3,3,3,3,False,True,False
0,3,3,3,3,3,3,False,True,False
0,4,3,3,3,3,1,False,True,False
2,2,2,2,3,3,2,False,True,False
1,1,1,1,4,3,3,False,True,False
2,2,2,2,3,3,2,False,True,False
1,2,3,4,4,3,3,False,True,False
3,3,3,3,3,4,3,False,True,False
0,4,4,4,4,4,4,False,True,False
2,2,2,2,2,3,3,False,True,False
1,1,1,1,1,2,2,False,True,False
0,0,4,4,4,4,3,False,False,True
2,3,3,2,2,3,1,True,False,False
1,3,2,2,1,2,2,False,True,False
2,3,2,3,2,2,2,False,False,True
2,3,3,3,4,3,3,False,True,False
1,1,2,1,3,3,2,False,True,False
0,0,2,2,3,4,2,False,True,False
